time,temp,arm_freq
725,53.5,1800457088
730,52.5,1800404352
735,54.0,1800457088
740,53.5,1800457088
745,52.5,1800404352
750,54.5,1800457088
755,53.5,1800457088
760,53.5,1800457088
765,53.0,1800457088
770,54.0,1800457088
775,53.5,1800457088
780,53.5,1800457088
785,53.5,1800457088
791,53.5,1800404352
796,54.0,1800457088
801,54.5,1800404352
806,54.0,1800457088
811,54.5,1800457088
816,54.0,1800457088
821,54.5,1800404352
826,54.0,1800404352
831,54.5,1800457088
836,54.0,1800404352
841,55.0,1800457088
846,53.5,1800457088
851,55.5,1800457088
857,54.0,1800457088
862,55.5,1800404352
867,54.0,1800404352
872,54.0,1800457088
877,54.0,1800457088
882,54.5,1800457088
887,54.0,1800404352
892,55.0,1800457088
897,55.0,1800457088
902,55.0,1800457088
907,55.0,1800457088
912,55.0,1800404352
917,55.5,1800404352
923,54.5,1800404352
928,55.0,1800457088
933,53.5,1800404352
938,55.0,1800457088
943,53.5,1800457088
948,54.5,1800457088
953,54.0,1800404352
958,53.5,1800404352
963,55.0,1800457088
968,54.5,1800457088
973,54.0,1800404352
978,53.5,1800457088
983,54.5,1800404352
989,53.5,1800457088
994,53.0,1800457088
999,53.5,1800457088
1004,53.5,1800457088
1009,52.5,1800457088
1014,54.5,1800457088
1019,53.0,1800457088
1024,55.0,1800457088
1029,55.0,1800457088
1034,54.0,1800457088
1039,54.0,1800457088
1044,54.5,1800404352
1049,55.0,1800457088
1055,54.5,1800457088
1060,55.0,1800404352
1065,54.5,1800457088
1070,55.0,1800404352
1075,54.0,1800457088
1080,54.0,1800457088
1085,54.5,1800404352
1090,54.5,1800404352
1095,55.5,1800457088
1100,55.0,1800457088
1105,55.0,1800457088
1110,55.5,1800457088
1115,56.0,1800457088
1121,55.5,1800404352
1126,55.5,1800404352
1131,54.5,1800457088
1136,55.5,1800457088
1141,55.0,1800404352
1146,55.5,1800457088
1151,55.0,1800457088
1156,56.0,1800404352
1161,55.5,1800404352
1166,56.0,1800457088
1171,56.0,1800457088
1176,56.0,1800457088
1181,56.0,1800457088
1187,56.9,1800404352
1192,56.0,1800457088
1197,55.5,1800457088
1202,56.0,1800457088
1207,56.0,1800404352
1212,56.0,1800457088
1217,56.0,1800457088
1222,56.0,1800457088
1227,56.4,1800457088
1232,56.4,1800457088
1237,56.4,1800457088
1242,56.0,1800404352
1247,56.4,1800457088
1253,56.4,1800457088
1258,56.4,1800457088
1263,55.5,1800457088
1268,56.9,1800457088
1273,56.9,1800457088
1278,56.0,1800457088
1283,56.4,1800404352
1288,56.9,1800457088
1293,56.4,1800457088
1298,56.4,1800457088
1303,56.9,1800457088
1308,56.9,1800404352
1313,56.9,1800457088
1319,57.4,1800457088
1324,57.4,1800404352
1329,56.4,1800404352
1334,56.0,1800457088
1339,56.9,1800404352
1344,56.9,1800404352
1349,56.9,1800404352
1354,57.9,1800457088
1359,56.9,1800404352
1364,57.4,1800404352
1369,57.4,1800457088
1374,57.4,1800457088
1379,56.9,1800457088
1385,57.9,1800404352
1390,57.9,1800404352
1395,57.4,1800457088
1400,57.9,1800457088
1405,58.4,1800457088
1410,57.4,1800457088
1415,57.4,1800457088
1420,58.4,1800404352
1425,53.0,1400361344
1430,51.6,1200287104
1435,50.1,1200287104
1440,49.1,1500345728
1445,48.2,1300271488
1450,48.2,1400308608
1455,48.2,1400361344
1460,47.2,1400361344
1466,47.2,1200287104
1471,46.2,1300324224
1476,46.7,1300324224
1481,46.7,1300324224
1486,47.7,1300324224
1491,46.2,1500345728
1496,46.7,1200287104
1501,45.7,1200287104
1506,46.7,1400361344
1511,45.7,1400308608
1516,45.7,1400361344
1521,45.2,1200287104
1526,46.2,1300324224
1531,45.7,1400308608
1536,45.2,1400361344
1541,45.7,1000265600
1546,44.8,1300324224
1551,44.8,1200287104
1556,44.3,1500345728
1561,44.8,1200287104
1566,45.2,1400361344
1571,45.2,1200287104
1577,44.8,1500345728
1582,44.3,1200287104
1587,44.8,1300324224
1592,44.3,1400308608
1597,44.3,1200339840
1602,44.3,1300324224
1607,43.8,1200287104
1612,43.3,1100302720
1617,44.3,1300324224
1622,43.3,1400308608
1627,44.3,1300324224
1632,43.8,1400308608
1637,43.8,1500345728
1642,43.3,1400308608
1647,44.3,1300324224
1652,43.8,1300271488
1657,43.3,1300324224
1662,43.3,1300324224
1667,42.8,1500345728
1672,42.3,1300324224
1677,42.3,1300324224
1682,42.3,1200287104
1688,43.3,1400361344
1693,42.8,1400361344
1698,42.8,1300324224
1703,42.3,1300324224
1708,41.8,1400361344
1713,43.3,1400361344
1718,41.8,1500398464
1723,42.8,1400361344
1728,41.8,1200287104
1733,41.3,1400361344
1738,46.7,1800457088
1743,42.8,1200287104
1748,42.8,1500345728
1753,42.8,1500398464
1758,41.8,1400308608
1763,41.8,1200287104
1768,41.8,1400308608
1773,42.8,1300271488
